id,address,battery,ict,lamp,latitude,longitude,postalCode
93,"1500 BENDEMEER ROAD, MOM SERVICES CENTRE, LOBBY",1,1,1,1.321203,103.866892,339946
94,"512 THOMSON ROAD MSF BUILDING LOBBY, MAIN LOBBY",1,1,1,1.333708,103.839502,298136
95,"80 BENCOOLEN STREET, LEVEL 1 WING A, LIFT LOBBY",1,1,1,1.3001567,103.8516505,189655
96,"ANG MO KIO AVENUE 8, NANYANG POLYTECHNIC, BLOCK E (NORTH CANTEEN)",1,1,1,1.379530176,103.8492681,569830
97,"21 LIEN YING CHOW DRIVE, NANYANG TECHNOLOGICAL UNIVERSITY, HALL 6 BLOCK A",1,1,1,1.347655,103.687289,637296
98,"76 NANYANG DRIVE, SPIRAL STAIRCASE NEAR LECTURE THEATRE 1A",1,1,1,1.346903,103.680122,637331
99,"1 CLUNY ROAD, NATIONAL PARKS BOARD HQ, SINGAPORE BOTANIC GARDENS, NASSIM GATE INFO COUNTER",1,1,1,1.322437,103.815098,259569
100,"1 NORTHPOINT DRIVE NEE SOON CENTRAL COMMUNITY CLUB, NEE SOON CENTRAL CC, INSIDE NORTHPOINT CITY",1,1,1,1.4284,103.835915,768019
101,"1 YISHUN AVENUE 9, NEE SOON EAST CC, MAIN LOBBY",1,1,1,1.4304371,103.8385738,768893
102,"30 YISHUN STREET 81, NEE SOON SOUTH CC, VOID DECK (TEMPORARY) CC UNDERGOING RENOVATION",1,1,1,1.415072,103.834862,768455
103,"1 WEST COAST DRIVE, #01-111, LIFT LOBBY C",1,1,1,1.315946,103.75752,128020
104,"1 JURONG EAST STREET 21, NG TENG FONG GENERAL HOSPITAL, TOWER B, LEVEL 2",1,1,1,1.333426,103.745536,609606
105,"535 CLEMENTI ROAD, NGEE ANN POLYCLINIC, BLK 22, FOODCOURT",1,1,1,1.33318835,103.7746123,599489
106,"238 THOMSON ROAD, NOVENA SQUARE, LEVEL 3",1,1,1,1.3204058,103.8437628,307683
107,"1E KENT RIDGE ROAD, LEVEL 1",1,1,1,1.294272,103.778498,119228
108,"681 PUNGGOL DRIVE, OASIS TERRACES, LVL 1 OPPOSITE ANYTIME FITNESS",1,1,1,1.402853,103.913229,820681
109,"1 RAFFLES QUAY, #B2, ESCALATOR WALKWAY",1,1,1,1.281501,103.85216,48583
110,"1 TAMPINES WALK, CENTRAL PLAZA (LIBRARY EXIT)",1,1,1,1.35379,103.940887,528523
111,"735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA, MAIN ENTRANCE",1,1,1,1.3792579,103.9361678,510735
112,"100 YUAN CHING RD, RECEPTION",1,1,1,1.339449,103.727213,618662
113,"11 RHU CROSS, MAIN ENTRANCE",1,1,1,1.29383,103.868033,437440
114,"207 HOUGANG STREET 21, MAIN ENTRANCE LOBBY",1,1,1,1.35779055,103.8861982,530207
115,"10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER (PLQ), LEVEL 1",1,1,1,1.317775,103.8929956,409057
116,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE, LEVEL 2 CARPARK BESIDE OFFICE LIFT LOBBY 1",1,1,1,1.319116,103.892482,409051
117,"116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206, VOID DECK",1,1,1,1.3641729,103.8929828,530116
118,"5 PINE CLOSE, #01-141, VOID DECK",1,1,1,1.307171,103.882764,391005
119,"638 JURONG WEST STREET 61, PIONEER MALL, MAIN LOBBY NEAR MACDONALDS",1,1,1,1.341630892,103.6971605,640638
120,"653A JURONG WEST ST 61, PIONEER ZONE 12 RN, #01-422, VOID DECK",1,1,1,1.3368778,103.6966016,641653
121,"602 JURONG WEST ST 65, VOID DECK",1,1,1,1.339249,103.700331,640602
122,"6 POTONG PASIR AVENUE 2, CONSTITUENCY OFFICE",1,1,1,1.332562,103.867097,358361
123,"80 PUNGGOL FIELD, PUNGGOL 21 CC, MAIN LOBBY",1,1,1,1.393629,103.913505,828815
124,"204A PUNGGOL FIELD, PUNGGOL CLOVER RN, #01-288, VOID DECK",1,1,1,1.393629,103.913428,821204
125,"176C EDGEFIELD PLAINS, PUNGGOL OASIS RC, #01-569, VOID DECK",1,1,1,1.398318,103.908892,821175
126,"312B SUMANG LINK, #01-171",1,1,1,1.410931,103.901146,823312
127,"602 PUNGGOL CENTRAL, PUNGGOL VISTA CC, MAIN ENTRANCE",1,1,1,1.4032136,103.907333,820602
128,"259C PUNGGOL FIELD, PUNGGOL WEST CC, VOID DECK",1,1,1,1.4044862,103.8956952,823259
129,"365 COMMONWEALTH AVE, MAIN ENTRANCE",1,1,1,1.299221,103.801392,149732
130,252 NORTH BRIDGE RD,1,1,1,1.2938961,103.8533428,179103
131,"565 PASIR RIS ST 51, REPAIR KOPITIAM, VOID DECK",1,1,1,1.368961,103.950278,510565
132,"9 WOODLANDS AVENUE 9, REPUBLIC POLYTECHNIC, W3, LEVEL 3 FOODCOURT (UNDER RENOVATION)",1,1,1,1.4444,103.785082,738964
133,"8 SENTOSA GATEWAY, BESIDE DIN TAI FUNG RESTAURANT (#01-217)",1,1,1,1.258446,103.820349,98269
134,"55 NEWTON RD, LEVEL 2",1,1,1,1.3196822,103.8422527,307987
135,"180C RIVERVALE CRESCENT, RIVERVALE ARC RC, #01-367, VOID DECK",1,1,1,1.389595,103.909655,543180
136,"110 RIVERVALE WALK, RIVERVALE COURT RC, VOID DECK",1,1,1,1.383588,103.900008,540110
137,"118 RIVERVALE DRIVE, RIVERVALE PLAZA, MAIN LOBBY",1,1,1,1.3849113,103.9026609,540118
138,"135 RIVERVALE STREET, RIVERVALE SPRING RC, #01-730, VOID DECK",1,1,1,1.388297,103.905033,540135
139,"188B RIVERVALE DRIVE, RIVERVALE VISTA RC, 01-1076, VOID DECK",1,1,1,1.393203,103.902595,542188
140,"511 CANBERRA ROAD, SEMBAWANG MART, MAIN LOBBY",1,1,1,1.45394,103.81945,750511
